McID	OrderID	JobName	Date	Weekly	Hour	Film	Target	LowControl	Interval	Speed	Under_lcl	Notif	OTS	Matte	Weight	OkMtr	BdCode	RunTime	Downtime
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:26	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:27	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:28	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:29	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:30	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:31	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:32	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:33	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:34	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:35	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:36	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:37	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:38	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:39	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:40	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:41	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:42	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:43	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:44	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:45	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:46	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:47	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:48	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:49	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:50	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:51	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:52	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:53	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:54	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:55	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:56	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
PR01	61441-20	ROLL SUSU KAMBING FULL CREAM	11-10-21	10- W3	0:57	PET	230	219	5	221		N	N	N	0,2	26.000	RUN	1	0
